CUSTOMERID,FAMILYNAME,GIVENNAME,DATEOFBIRTH,CITY,COUNTRY,POSTALCODE,CELLCOUNTRYCODE,PHONECOUNTRYCODE,CERTIFICATEEXPIRYDATE,CERTIFICATEISSUER,CERTIFICATETYPE,LASTMAINTENANCETELLERID,REGISTRATIONDATE,CUSTOMERTYPE,NATIONALITY,GENDER,ETHNICGROUP,OCCUPATION,EMAIL,ISBILLINGORG,ISMERCHANT
1990,test,smu(dbs),21/9/2023 0:00,Singapore,Singapore,123,65,65,31/12/2099,Singapore,IC number,API,30/9/2023 0:00,100,Singapore,Female,Singapore,None,e@g.com,FALSE,FALSE
2041,test22,smu,6/10/2023 0:00,Singapore,Singapore,570292,65,65,31/12/2099,Singapore,IC number,API,6/10/2023 0:00,100,Singapore,Male,Singapore,None,testing@gmail.com,FALSE,FALSE
2054,1,th,3/10/2023 0:00,Ceyranbatan,Azerbaijan,1,994,994,31/12/2099,Azerbaijan,IC number,API,6/10/2023 0:00,100,Azerbaijan,Female,Azerbaijan,None,s@g.com,FALSE,FALSE
2056,Tan,Darien,7/10/2023 0:00,Singapore,Singapore,588830,65,65,31/12/2099,Singapore,IC number,API,7/10/2023 0:00,100,Singapore,Male,Singapore,None,darien.tan.2020@scis.smu.edu.sg,FALSE,FALSE
2089,test,admin1,20/10/2023 0:00,SG,Singapore,123,Singapore,65,31/12/2099,Singapore,IC number,API,20/10/2023 0:00,100,Singapore,Male,Singapore,None,testing@gmail.com,FALSE,FALSE
2092,test,admin2,20/10/2023 0:00,SG,Singapore,123456,Singapore,65,31/12/2099,Singapore,IC number,API,20/10/2023 0:00,100,Singapore,Male,Singapore,None,testing@gmail.com,FALSE,FALSE
2093,12,2,17/10/2023 0:00,SG,Singapore,1231,Singapore,65,31/12/2099,Singapore,IC number,API,20/10/2023 0:00,100,Singapore,Male,Singapore,None,12@g.com,FALSE,FALSE
2094,test,admin1v2,20/10/2023 0:00,SG,Singapore,123,Singapore,65,31/12/2099,Singapore,IC number,API,20/10/2023 0:00,100,Singapore,Male,Singapore,None,testing@gmail.com,FALSE,FALSE
2095,test,admindbs,20/10/2023 0:00,SG,Singapore,123,Singapore,65,31/12/2099,Singapore,IC number,API,20/10/2023 0:00,100,Singapore,Male,Singapore,None,testing@gmail.com,FALSE,FALSE
2096,-,Coffee Bean,11/12/1989 0:00,Singapore,Singapore,730808,65,65,31/12/2099,Singapore,IC number,Teller,9/7/2013 0:00,200,Singapore,Male,Singapore,None,alanmegargel@smu.edu.sg,TRUE,TRUE
2097,-,Kinetic,11/12/1989 0:00,Singapore,Singapore,730808,65,65,31/12/2099,Singapore,IC number,Teller,27/10/2023 0:00,200,Singapore,Male,Singapore,None,alanmegargel@smu.edu.sg,TRUE,TRUE
2098,-,SingTel,11/12/1989 0:00,Singapore,Singapore,730808,65,65,31/12/2099,Singapore,IC number,Teller,27/10/2023 0:00,200,Singapore,Male,Singapore,None,alanmegargel@smu.edu.sg,TRUE,TRUE
2099,-,Adobe Premiere Pro,11/12/1989 0:00,Singapore,Singapore,730808,65,65,31/12/2099,Singapore,IC number,Teller,27/10/2023 0:00,200,Singapore,Male,Singapore,None,alanmegargel@smu.edu.sg,TRUE,TRUE
2100,-,Alan Corp,11/12/1989 0:00,Singapore,Singapore,730808,65,65,31/12/2099,Singapore,IC number,Teller,27/10/2023 0:00,200,Singapore,Male,Singapore,None,alanmegargel@smu.edu.sg,TRUE,TRUE
2101,-,Amazon Prime,11/12/1989 0:00,Singapore,Singapore,730808,65,65,31/12/2099,Singapore,IC number,Teller,27/10/2023 0:00,200,Singapore,Male,Singapore,None,alanmegargel@smu.edu.sg,TRUE,TRUE
2102,-,America On Line,11/12/1989 0:00,None,None,730808,65,65,31/12/2099,Singapore,IC number,Teller,27/10/2023 0:00,200,Singapore,Male,Singapore,None,alanmegargel@smu.edu.sg,TRUE,TRUE
2103,-,American Mobile,11/12/1989 0:00,None,None,730808,65,65,31/12/2099,Singapore,IC number,Teller,27/10/2023 0:00,200,Singapore,Male,Singapore,None,alanmegargel@smu.edu.sg,TRUE,TRUE
2104,-,British Telecom,11/12/1989 0:00,None,None,730808,65,65,31/12/2099,Singapore,IC number,Teller,27/10/2023 0:00,200,Singapore,Male,Singapore,None,alanmegargel@smu.edu.sg,TRUE,TRUE
2105,-,China Mobile,11/12/1989 0:00,None,None,730808,65,65,31/12/2099,Singapore,IC number,Teller,27/10/2023 0:00,200,Singapore,Male,Singapore,None,alanmegargel@smu.edu.sg,TRUE,TRUE
2106,-,China Telecom,11/12/1989 0:00,None,None,730808,65,65,31/12/2099,Singapore,IC number,Teller,27/10/2023 0:00,200,Singapore,Male,Singapore,None,alanmegargel@smu.edu.sg,TRUE,TRUE
2107,-,Company,11/12/1989 0:00,Singapore,Singapore,730808,65,65,31/12/2099,Singapore,IC number,Teller,27/10/2023 0:00,200,Singapore,Male,Singapore,None,alanmegargel@smu.edu.sg,TRUE,TRUE
2108,-,Deliveroo Plus,11/12/1989 0:00,Singapore,Singapore,730808,65,65,31/12/2099,Singapore,IC number,Teller,27/10/2023 0:00,200,Singapore,Male,Singapore,None,alanmegargel@smu.edu.sg,TRUE,TRUE
2109,-,Deutsche Telekom,11/12/1989 0:00,None,None,730808,65,65,31/12/2099,Singapore,IC number,Teller,27/10/2023 0:00,200,Singapore,Male,Singapore,None,alanmegargel@smu.edu.sg,TRUE,TRUE
2110,-,English Premier League,11/12/1989 0:00,Singapore,Singapore,730808,65,65,31/12/2099,Singapore,IC number,Teller,27/10/2023 0:00,200,Singapore,Male,Singapore,None,alanmegargel@smu.edu.sg,TRUE,TRUE
2111,-,GMS,11/12/1989 0:00,Singapore,Singapore,730808,65,65,31/12/2099,Singapore,IC number,Teller,27/10/2023 0:00,200,Singapore,Male,Singapore,None,alanmegargel@smu.edu.sg,TRUE,TRUE
2112,-,Great Eastern Life,11/12/1989 0:00,Singapore,Singapore,730808,65,65,31/12/2099,Singapore,IC number,Teller,27/10/2023 0:00,200,Singapore,Male,Singapore,None,alanmegargel@smu.edu.sg,TRUE,TRUE
2113,-,Housing Development Board,11/12/1989 0:00,Singapore,Singapore,730808,65,65,31/12/2099,Singapore,IC number,Teller,27/10/2023 0:00,200,Singapore,Male,Singapore,None,alanmegargel@smu.edu.sg,TRUE,TRUE
2114,-,KERY,11/12/1989 0:00,None,None,730808,65,65,31/12/2099,Singapore,IC number,Teller,27/10/2023 0:00,200,Singapore,Male,Singapore,None,alanmegargel@smu.edu.sg,TRUE,TRUE
2115,-,M1,11/12/1989 0:00,Singapore,Singapore,730808,65,65,31/12/2099,Singapore,IC number,Teller,27/10/2023 0:00,200,Singapore,Male,Singapore,None,alanmegargel@smu.edu.sg,TRUE,TRUE
2116,-,Malaysia Telekom,11/12/1989 0:00,None,None,730808,65,65,31/12/2099,Singapore,IC number,Teller,27/10/2023 0:00,200,Singapore,Male,Singapore,None,alanmegargel@smu.edu.sg,TRUE,TRUE
2117,-,Maxis,11/12/1989 0:00,None,None,730808,65,65,31/12/2099,Singapore,IC number,Teller,27/10/2023 0:00,200,Singapore,Male,Singapore,None,alanmegargel@smu.edu.sg,TRUE,TRUE
2118,-,Mon,11/12/1989 0:00,Singapore,Singapore,730808,65,65,31/12/2099,Singapore,IC number,Teller,27/10/2023 0:00,200,Singapore,Male,Singapore,None,alanmegargel@smu.edu.sg,TRUE,TRUE
2119,-,MyFitnessPal,11/12/1989 0:00,Singapore,Singapore,730808,65,65,31/12/2099,Singapore,IC number,Teller,27/10/2023 0:00,200,Singapore,Male,Singapore,None,alanmegargel@smu.edu.sg,TRUE,TRUE
2120,-,Netflix,11/12/1989 0:00,Singapore,Singapore,730808,65,65,31/12/2099,Singapore,IC number,Teller,27/10/2023 0:00,200,Singapore,Male,Singapore,None,alanmegargel@smu.edu.sg,TRUE,TRUE
2121,-,NKF,11/12/1989 0:00,Singapore,Singapore,730808,65,65,31/12/2099,Singapore,IC number,Teller,27/10/2023 0:00,200,Singapore,Male,Singapore,None,alanmegargel@smu.edu.sg,TRUE,TRUE
2122,-,Omea Telecom,11/12/1989 0:00,None,None,730808,65,65,31/12/2099,Singapore,IC number,Teller,27/10/2023 0:00,200,Singapore,Male,Singapore,None,alanmegargel@smu.edu.sg,TRUE,TRUE
2123,-,Original,11/12/1989 0:00,Singapore,Singapore,730808,65,65,31/12/2099,Singapore,IC number,Teller,27/10/2023 0:00,200,Singapore,Male,Singapore,None,alanmegargel@smu.edu.sg,TRUE,TRUE
2124,-,PandaPro,11/12/1989 0:00,Singapore,Singapore,730808,65,65,31/12/2099,Singapore,IC number,Teller,27/10/2023 0:00,200,Singapore,Male,Singapore,None,alanmegargel@smu.edu.sg,TRUE,TRUE
2125,-,Primus,11/12/1989 0:00,None,None,730808,65,65,31/12/2099,Singapore,IC number,Teller,27/10/2023 0:00,200,Singapore,Male,Singapore,None,alanmegargel@smu.edu.sg,TRUE,TRUE
2126,-,Regina,11/12/1989 0:00,Singapore,Singapore,730808,65,65,31/12/2099,Singapore,IC number,Teller,27/10/2023 0:00,200,Singapore,Male,Singapore,None,alanmegargel@smu.edu.sg,TRUE,TRUE
2127,-,SeanKJM,11/12/1989 0:00,Singapore,Singapore,730808,65,65,31/12/2099,Singapore,IC number,Teller,27/10/2023 0:00,200,Singapore,Male,Singapore,None,alanmegargel@smu.edu.sg,TRUE,TRUE
2128,-,SEKAB,11/12/1989 0:00,None,None,730808,65,65,31/12/2099,Singapore,IC number,Teller,27/10/2023 0:00,200,Singapore,Male,Singapore,None,alanmegargel@smu.edu.sg,TRUE,TRUE
2129,-,Singapore Power,11/12/1989 0:00,Singapore,Singapore,730808,65,65,31/12/2099,Singapore,IC number,Teller,27/10/2023 0:00,200,Singapore,Male,Singapore,None,alanmegargel@smu.edu.sg,TRUE,TRUE
2130,-,Sports Plus,11/12/1989 0:00,Singapore,Singapore,730808,65,65,31/12/2099,Singapore,IC number,Teller,27/10/2023 0:00,200,Singapore,Male,Singapore,None,alanmegargel@smu.edu.sg,TRUE,TRUE
2131,-,Star Alliance,11/12/1989 0:00,Singapore,Singapore,730808,65,65,31/12/2099,Singapore,IC number,Teller,27/10/2023 0:00,200,Singapore,Male,Singapore,None,alanmegargel@smu.edu.sg,TRUE,TRUE
2132,-,Starhub,11/12/1989 0:00,Singapore,Singapore,730808,65,65,31/12/2099,Singapore,IC number,Teller,27/10/2023 0:00,200,Singapore,Male,Singapore,None,alanmegargel@smu.edu.sg,TRUE,TRUE
2133,-,Strava,11/12/1989 0:00,Singapore,Singapore,730808,65,65,31/12/2099,Singapore,IC number,Teller,27/10/2023 0:00,200,Singapore,Male,Singapore,None,alanmegargel@smu.edu.sg,TRUE,TRUE
2134,-,Telstra,11/12/1989 0:00,None,None,730808,65,65,31/12/2099,Singapore,IC number,Teller,27/10/2023 0:00,200,Singapore,Male,Singapore,None,alanmegargel@smu.edu.sg,TRUE,TRUE
2135,-,The Business Times,11/12/1989 0:00,Singapore,Singapore,730808,65,65,31/12/2099,Singapore,IC number,Teller,27/10/2023 0:00,200,Singapore,Male,Singapore,None,alanmegargel@smu.edu.sg,TRUE,TRUE
2136,-,The Strait Times,11/12/1989 0:00,Singapore,Singapore,730808,65,65,31/12/2099,Singapore,IC number,Teller,27/10/2023 0:00,200,Singapore,Male,Singapore,None,alanmegargel@smu.edu.sg,TRUE,TRUE
2137,-,UPGEN MOTOR,11/12/1989 0:00,None,None,730808,65,65,31/12/2099,Singapore,IC number,Teller,27/10/2023 0:00,200,Singapore,Male,Singapore,None,alanmegargel@smu.edu.sg,TRUE,TRUE
2138,-,Verizon,11/12/1989 0:00,None,None,730808,65,65,31/12/2099,Singapore,IC number,Teller,27/10/2023 0:00,200,Singapore,Male,Singapore,None,alanmegargel@smu.edu.sg,TRUE,TRUE
2139,-,Vodafone,11/12/1989 0:00,None,None,730808,65,65,31/12/2099,Singapore,IC number,Teller,27/10/2023 0:00,200,Singapore,Male,Singapore,None,alanmegargel@smu.edu.sg,TRUE,TRUE
2140,-,Zoom,11/12/1989 0:00,Singapore,Singapore,730808,65,65,31/12/2099,Singapore,IC number,Teller,27/10/2023 0:00,200,Singapore,Male,Singapore,None,alanmegargel@smu.edu.sg,TRUE,TRUE
2141,test5,smu,29/10/2023 0:00,Singapore,Singapore,123,SG,65,31/12/2099,Singapore,IC number,API,29/10/2023 0:00,100,Singapore,Female,Singapore,None,smutest5@gmail.com,FALSE,FALSE
2142,er,er,7/11/2023 0:00,Singapore,Singapore,123,65,65,31/12/2099,Singapore,IC number,API,6/11/2023 0:00,100,Singapore,Male,Singapore,None,testing@gmail.com,FALSE,FALSE
2143,testcry,smu,7/11/2023 0:00,Singapore,Singapore,23,65,65,31/12/2099,Singapore,IC number,API,6/11/2023 0:00,100,Singapore,Male,Singapore,None,testing@gmail.com,FALSE,FALSE
2144,test,test,1/11/2023 0:00,Asadabad,Afghanistan,121,93,93,31/12/2099,Afghanistan,IC number,API,6/11/2023 0:00,100,Afghanistan,Male,Afghanistan,None,test,FALSE,FALSE
2145,test,test,6/11/2023 0:00,Bargaal,Somalia,12,252,252,31/12/2099,Somalia,IC number,API,6/11/2023 0:00,100,Somalia,Prefer to not say,Somalia,None,test,FALSE,FALSE
2152,20,darien,6/11/2023 0:00,Singapore,Singapore,12,65,65,31/12/2099,Singapore,IC number,API,6/11/2023 0:00,100,Singapore,Male,Singapore,None,testing@gmail.com,FALSE,FALSE
2153,test,test,7/11/2023 0:00,Singapore,Singapore,123,65,65,31/12/2099,Singapore,IC number,API,6/11/2023 0:00,100,Singapore,Male,Singapore,None,et,FALSE,FALSE
2155,df,dfdf,7/11/2023 0:00,Singapore,Singapore,123456,65,65,31/12/2099,Singapore,IC number,API,7/11/2023 0:00,100,Singapore,Male,Singapore,None,testing@gmail.com,FALSE,FALSE
2156,dfg,adfv,7/11/2023 0:00,Balkh,Afghanistan,12,93,93,31/12/2099,Afghanistan,IC number,API,7/11/2023 0:00,100,Afghanistan,Male,Afghanistan,None,testing@gmail.com,FALSE,FALSE
2157,aer,aef,7/11/2023 0:00,Singapore,Singapore,123456,65,65,31/12/2099,Singapore,IC number,API,7/11/2023 0:00,100,Singapore,Male,Singapore,None,testing@gmail.com,FALSE,FALSE
2158,Tester,UAT,1/1/2000 0:00,Singapore,Singapore,179873,65,65,31/12/2099,Singapore,IC number,API,14/11/2023 0:00,100,Singapore,Male,Singapore,None,testUAT@test.com,TRUE,FALSE
2159,the,codemovers,1/1/1997 0:00,Singapore,Singapore,188065,SG,65,31/12/2099,Singapore,IC number,API,14/11/2023 0:00,100,Singapore,Male,Singapore,ABBOT,darientan28@gmail.com,FALSE,FALSE
2160,Tan,Bobby,28/1/1975 0:00,Singapore,Singapore,188065,65,65,31/12/2099,Singapore,IC number,API,14/11/2023 0:00,100,Singapore,Male,Singapore,BANK DIRECTOR,darientan28@gmail.com,FALSE,FALSE
2168,dbs,thecodemovers,4/2/1975 0:00,Singapore,Singapore,188065,65,65,31/12/2099,Singapore,IC number,API,15/11/2023 0:00,100,Singapore,Male,Singapore,CONSULTANT,darientan28@gmail.com,FALSE,FALSE
2169,Megargel,Alan,11/12/1960 0:00,Woodlands,Singapore,737937,65,65,31/12/2099,Singapore,IC number,API,15/12/2023 0:00,100,199,Male,199,PROFESSOR,alanmegargel@smu.edu.sg,FALSE,FALSE
2170,En,Ick,29/5/1997 0:00,Singapore,Singapore,542119,None,None,31/12/2099,Singapore,IC number,API,19/1/2024 0:00,100,Singapore,Male,Singapore,SWE,None,FALSE,FALSE
2171,Smith,John,1/1/1990 0:00,Camacupa,Angola,123456,244,244,31/12/2099,Angola,IC number,API,21/1/2024 0:00,100,Angola,Male,Angola,ABRASIVES MIXER,john.smith@mail.com,FALSE,FALSE
2172,smith,john,1/1/1990 0:00,Singapore,Singapore,111111,65,65,31/12/2099,Singapore,IC number,API,21/1/2024 0:00,100,Singapore,Male,Singapore,assdf,john@mail.com,FALSE,FALSE
2173,smith,john,1/1/1990 0:00,Singapore,Singapore,111111,65,65,31/12/2099,Singapore,IC number,API,21/1/2024 0:00,100,Singapore,Male,Singapore,assdf,john@mail.com,FALSE,FALSE
2197,lim,tse hwee,12/2/2024 0:00,Bukit Timah,Singapore,123123,65,65,31/12/2099,Singapore,IC number,API,9/2/2024 0:00,100,Singapore,Female,Singapore,Student,tsehwee.lim.2020@scis.smu.edu.sg,FALSE,FALSE
2198,l,th,1/1/1999 0:00,Punggol,Singapore,123123,65,65,31/12/2099,Singapore,IC number,API,9/2/2024 0:00,100,Singapore,Female,Singapore,None,ts@g.com,FALSE,FALSE
2199,abc,abc,1/9/2000 0:00,Bukit Batok,Singapore,123123,65,65,31/12/2099,Singapore,IC number,API,9/2/2024 0:00,100,Singapore,Male,Singapore,Abrasive wheel moulder,b@h.com,FALSE,FALSE
2200,abc,abc,1/9/2000 0:00,Bukit Batok,Singapore,123123,65,65,31/12/2099,Singapore,IC number,API,9/2/2024 0:00,100,Singapore,Male,Singapore,Abrasive wheel moulder,b@h.com,FALSE,FALSE
2201,a,aa,1/1/2000 0:00,None,Angola,111111,244,244,31/12/2099,Angola,IC number,API,9/2/2024 0:00,100,Angola,Male,Angola,None,a@m.co,FALSE,FALSE
2202,lim,hwee,20/2/2024 0:00,Downtown Core,Singapore,123123,65,65,31/12/2099,Singapore,IC number,API,20/2/2024 0:00,100,Singapore,Female,Singapore,Able seaman,tsehwee2@gmail.com,FALSE,FALSE
