TRANSACTIONID,ACCOUNTFROM,ACCOUNTTO,BANKIDFROM,BANKIDTO,TRANSACTIONAMOUNT,EXCHANGERATE,TRANSACTIONDATE,TRANSACTIONTYPE,INTERIMBALANCE,ACCOUNTTO_INTERIMBALANCE,CURRENCY,QUOTECURRENCY,PAYMENTMODE,OVERRIDEFLAG,NARRATIVE
415171,4909,0,29,0,0.05,1.0,2024-09-18 14:07:56,153,10203.9,9795.8,SGD,SGD,Cash,True,testing
415172,4909,4905,29,29,10.23,1.0,2024-09-18 14:11:49,301,10193.62,9806.03,SGD,SGD,Cash,False,testing
415173,4909,0,29,0,0.05,1.0,2024-09-18 14:11:49,153,10193.62,9806.03,SGD,SGD,Cash,True,testing
415174,4554,4814,29,29,2.34,1.0,2024-09-18 14:15:29,301,2882.41,100041.44,SGD,SGD,Cash,False,testing
415175,4554,0,29,0,0.05,1.0,2024-09-18 14:15:29,153,2882.41,100041.44,SGD,SGD,Cash,True,testing
415176,4959,4967,29,29,1.23,1.0,2024-09-18 14:15:57,301,98.72,10202.54,SGD,SGD,Cash,False,testing
415177,4959,0,29,0,0.05,1.0,2024-09-18 14:15:57,153,98.72,10202.54,SGD,SGD,Cash,True,testing
415178,4554,4852,29,33,13.45,1.0,2024-09-18 14:22:51,301,2868.91,5073.72,SGD,SGD,Cash,False,testing
415179,4554,0,29,0,0.05,1.0,2024-09-18 14:22:51,153,2868.91,5073.72,SGD,SGD,Cash,True,testing
415180,5008,5032,29,29,1.25,1.0,2024-09-18 14:36:01,301,9798.6,20201.25,SGD,SGD,Cash,False,testing
415181,5008,0,29,0,0.05,1.0,2024-09-18 14:36:01,153,9798.6,20201.25,SGD,SGD,Cash,True,testing
415182,5030,5027,29,29,1.23,1.0,2024-09-18 15:01:45,301,9998.62,10001.13,SGD,SGD,Cash,False,any narrative
415183,5030,0,29,0,0.05,1.0,2024-09-18 15:01:45,153,9998.62,10001.13,SGD,SGD,Cash,True,any narrative
415184,5002,5006,29,29,1.23,1.0,2024-09-18 15:02:24,301,9996.01,10003.54,SGD,SGD,Cash,False,testing
415239,4953,0,29,0,0.05,1.0,2024-09-18 17:32:36,153,10003.5,9996.0,SGD,SGD,Cash,True,testing
415240,4954,4953,29,29,15.0,1.0,2024-09-18 17:46:28,301,9980.95,10018.5,SGD,SGD,Cash,False,Dinner
415241,4954,0,29,0,0.05,1.0,2024-09-18 17:46:28,153,9980.95,10018.5,SGD,SGD,Cash,True,Dinner
415242,4981,4982,29,29,10.0,1.0,2024-09-18 18:51:57,301,9978.52,10021.13,SGD,SGD,Cash,False,test
415243,4981,0,29,0,0.05,1.0,2024-09-18 18:51:57,153,9978.52,10021.13,SGD,SGD,Cash,True,test
415244,4922,5040,29,29,50.0,1.0,2024-09-18 18:52:19,301,9749.85,250.0,SGD,SGD,Cash,False,TEST MESSAGE
415245,4922,0,29,0,0.05,1.0,2024-09-18 18:52:19,153,9749.85,250.0,SGD,SGD,Cash,True,TEST MESSAGE
415246,4981,4982,29,29,1.23,1.0,2024-09-18 19:21:21,301,9977.24,10022.36,SGD,SGD,Cash,False,testing
415247,4981,0,29,0,0.05,1.0,2024-09-18 19:21:21,153,9977.24,10022.36,SGD,SGD,Cash,True,testing
415248,4981,4982,29,29,1.23,1.0,2024-09-18 19:21:59,301,9975.96,10023.59,SGD,SGD,Cash,False,testing
415249,4981,0,29,0,0.05,1.0,2024-09-18 19:21:59,153,9975.96,10023.59,SGD,SGD,Cash,True,testing
415250,4981,4982,29,29,1.23,1.0,2024-09-18 19:35:01,301,9974.68,10024.82,SGD,SGD,Cash,False,testing
415251,4981,0,29,0,0.05,1.0,2024-09-18 19:35:01,153,9974.68,10024.82,SGD,SGD,Cash,True,testing
415252,4981,4982,29,29,1.23,1.0,2024-09-18 19:35:10,301,9973.4,10026.05,SGD,SGD,Cash,False,testing
415253,4981,0,29,0,0.05,1.0,2024-09-18 19:35:10,153,9973.4,10026.05,SGD,SGD,Cash,True,testing
415254,4981,4982,29,29,1.23,1.0,2024-09-18 19:35:22,301,9972.12,10027.28,SGD,SGD,Cash,False,testing
415255,4981,0,29,0,0.05,1.0,2024-09-18 19:35:22,153,9972.12,10027.28,SGD,SGD,Cash,True,testing
415256,4981,4982,29,29,1.23,1.0,2024-09-18 20:10:01,301,9970.84,10028.51,SGD,SGD,Cash,False,testing
415309,4955,0,29,0,0.05,1.0,2024-09-24 19:20:07,153,9996.06,9801.13,SGD,SGD,Cash,True,testing
415310,4955,4985,29,29,1.23,1.0,2024-09-24 19:20:55,301,9994.78,9802.36,SGD,SGD,Cash,False,testing
415311,4955,0,29,0,0.05,1.0,2024-09-24 19:20:55,153,9994.78,9802.36,SGD,SGD,Cash,True,testing
415312,4955,4985,29,29,1.23,1.0,2024-09-24 19:20:56,301,9993.5,9803.59,SGD,SGD,Cash,False,testing
415313,4955,0,29,0,0.05,1.0,2024-09-24 19:20:56,153,9993.5,9803.59,SGD,SGD,Cash,True,testing
415314,4955,4985,29,29,1.23,1.0,2024-09-24 19:34:06,301,9992.22,9804.82,SGD,SGD,Cash,False,testing
415315,4955,0,29,0,0.05,1.0,2024-09-24 19:34:06,153,9992.22,9804.82,SGD,SGD,Cash,True,testing
415316,4910,4925,29,29,3.21,1.0,2024-09-24 23:34:35,301,9995.36,10004.34,SGD,SGD,Cash,False,testing0
415317,4910,0,29,0,0.05,1.0,2024-09-24 23:34:35,153,9995.36,10004.34,SGD,SGD,Cash,True,testing0
415318,4910,4925,29,29,3.21,1.0,2024-09-24 23:55:06,301,9992.1,10007.55,SGD,SGD,Cash,False,testing0
415319,4910,0,29,0,0.05,1.0,2024-09-24 23:55:06,153,9992.1,10007.55,SGD,SGD,Cash,True,testing0
415320,4910,4907,29,29,123.0,1.0,2024-09-24 23:58:29,301,9869.05,123.0,SGD,SGD,Cash,False,lab4test
415321,4910,0,29,0,0.05,1.0,2024-09-24 23:58:29,153,9869.05,123.0,SGD,SGD,Cash,True,lab4test
415322,4910,4907,29,29,3.21,1.0,2024-09-25 00:00:18,301,9865.79,126.21,SGD,SGD,Cash,False,testing0
415323,4910,0,29,0,0.05,1.0,2024-09-25 00:00:18,153,9865.79,126.21,SGD,SGD,Cash,True,testing0
415324,4907,4910,29,29,100.0,1.0,2024-09-25 00:40:21,301,26.16,9965.79,SGD,SGD,Cash,False,Transfer
415325,4907,0,29,0,0.05,1.0,2024-09-25 00:40:21,153,26.16,9965.79,SGD,SGD,Cash,True,Transfer
415326,4907,4910,29,29,3.21,1.0,2024-09-25 01:49:17,301,22.9,9969.0,SGD,SGD,Cash,False,testing0
415375,0,4395,0,29,1.15,1.0,2024-09-27 13:37:29,200,0.0,2001.1,SGD,SGD,Mobile Banking,False,Interest Accrual for Physical Pooling: 18
415376,0,5054,0,33,4.75,1.0,2024-09-27 13:37:29,200,0.0,14004.2,USD,USD,Mobile Banking,False,Interest Accrual for Physical Pooling: 18
415377,0,4866,0,29,10.05,1.0,2024-09-27 13:37:30,200,0.0,31565.05,SGD,SGD,Mobile Banking,False,Interest Accrual for Physical Pooling: 18
415378,4395,4866,29,29,1.1,1.0,2024-09-27 13:38:24,301,1999.95,31566.15,SGD,SGD,Cash,False,Physical Pooling Fund Transfer ID: 18
415379,4395,0,29,0,0.05,1.0,2024-09-27 13:38:24,153,1999.95,31566.15,SGD,SGD,Cash,True,Physical Pooling Fund Transfer ID: 18
415380,5054,4866,33,29,4.2,1.2848,2024-09-27 13:38:24,301,13999.45,31571.45,USD,SGD,Cash,False,Physical Pooling Fund Transfer ID: 18
415381,5054,0,33,0,0.55,1.0,2024-09-27 13:38:24,153,13999.45,31571.45,USD,USD,Cash,True,Physical Pooling Fund Transfer ID: 18
415382,0,4395,0,29,1.15,1.0,2024-09-27 13:38:24,200,0.0,2001.1,SGD,SGD,Mobile Banking,False,Interest Accrual for Physical Pooling: 18
415383,0,5054,0,33,4.75,1.0,2024-09-27 13:38:24,200,0.0,14004.2,USD,USD,Mobile Banking,False,Interest Accrual for Physical Pooling: 18
415384,0,4866,0,29,10.02,1.0,2024-09-27 13:38:24,200,0.0,31581.47,SGD,SGD,Mobile Banking,False,Interest Accrual for Physical Pooling: 18
415385,4395,4866,29,29,1.1,1.0,2024-09-27 14:07:34,301,1999.95,31582.57,SGD,SGD,Cash,False,Physical Pooling Fund Transfer ID: 18
415386,4395,0,29,0,0.05,1.0,2024-09-27 14:07:34,153,1999.95,31582.57,SGD,SGD,Cash,True,Physical Pooling Fund Transfer ID: 18
415387,5054,4866,33,29,4.2,1.2848,2024-09-27 14:07:34,301,13999.45,31587.87,USD,SGD,Cash,False,Physical Pooling Fund Transfer ID: 18
415388,5054,0,33,0,0.55,1.0,2024-09-27 14:07:34,153,13999.45,31587.87,USD,USD,Cash,True,Physical Pooling Fund Transfer ID: 18
415389,0,4395,0,29,1.15,1.0,2024-09-27 14:07:34,200,0.0,2001.1,SGD,SGD,Mobile Banking,False,Interest Accrual for Physical Pooling: 18
415390,0,5054,0,33,4.75,1.0,2024-09-27 14:07:34,200,0.0,14004.2,USD,USD,Mobile Banking,False,Interest Accrual for Physical Pooling: 18
415470,4395,4866,29,29,1.75,1.0,2024-10-01 13:32:23,301,5999.95,28960.1,SGD,SGD,Cash,False,Physical Pooling Fund Transfer ID: 23
415471,4395,0,29,0,0.05,1.0,2024-10-01 13:32:23,153,5999.95,28960.1,SGD,SGD,Cash,True,Physical Pooling Fund Transfer ID: 23
415472,5054,4866,33,29,3.35,1.285,2024-10-01 13:32:23,301,12999.45,28964.33,USD,SGD,Cash,False,Physical Pooling Fund Transfer ID: 23
415473,5054,0,33,0,0.55,1.0,2024-10-01 13:32:23,153,12999.45,28964.33,USD,USD,Cash,True,Physical Pooling Fund Transfer ID: 23
415474,0,4395,0,29,1.8,1.0,2024-10-01 13:32:23,200,0.0,6001.75,SGD,SGD,Mobile Banking,False,Interest Accrual for Physical Pooling: 23
415475,0,5054,0,33,3.9,1.0,2024-10-01 13:32:23,200,0.0,13003.35,USD,USD,Mobile Banking,False,Interest Accrual for Physical Pooling: 23
415476,0,4866,0,29,8.69,1.0,2024-10-01 13:32:23,200,0.0,28973.02,SGD,SGD,Mobile Banking,False,Interest Accrual for Physical Pooling: 23
415477,0,4861,0,29,3.33,1.0,2024-10-01 13:33:20,200,0.0,9976.04,SGD,SGD,Mobile Banking,False,Interest Accrual for Notional Pooling: 45
415478,4395,4866,29,29,1.75,1.0,2024-10-01 15:53:11,301,5999.95,28974.77,SGD,SGD,Cash,False,Physical Pooling Fund Transfer ID: 23
415479,4395,0,29,0,0.05,1.0,2024-10-01 15:53:11,153,5999.95,28974.77,SGD,SGD,Cash,True,Physical Pooling Fund Transfer ID: 23
415480,5054,4866,33,29,3.35,1.285,2024-10-01 15:53:11,301,12999.45,28979.0,USD,SGD,Cash,False,Physical Pooling Fund Transfer ID: 23
415481,5054,0,33,0,0.55,1.0,2024-10-01 15:53:11,153,12999.45,28979.0,USD,USD,Cash,True,Physical Pooling Fund Transfer ID: 23
415482,0,4395,0,29,1.8,1.0,2024-10-01 15:53:12,200,0.0,6001.75,SGD,SGD,Mobile Banking,False,Interest Accrual for Physical Pooling: 23
415483,0,5054,0,33,3.9,1.0,2024-10-01 15:53:12,200,0.0,13003.35,USD,USD,Mobile Banking,False,Interest Accrual for Physical Pooling: 23
415484,0,4866,0,29,8.69,1.0,2024-10-01 15:53:12,200,0.0,28987.69,SGD,SGD,Mobile Banking,False,Interest Accrual for Physical Pooling: 23
415485,4395,4866,29,29,1.75,1.0,2024-10-01 15:53:18,301,5999.95,28989.44,SGD,SGD,Cash,False,Physical Pooling Fund Transfer ID: 23
415531,0,4395,0,29,1.8,1.0,2024-10-02 10:32:29,200,0.0,6001.75,SGD,SGD,Mobile Banking,False,Interest Accrual for Physical Pooling: 46
415532,0,5054,0,33,4.2,1.0,2024-10-02 10:32:29,200,0.0,14003.65,USD,USD,Mobile Banking,False,Interest Accrual for Physical Pooling: 46
415533,0,4866,0,29,8.33,1.0,2024-10-02 10:32:29,200,0.0,27782.28,SGD,SGD,Mobile Banking,False,Interest Accrual for Physical Pooling: 46
415534,4395,4866,29,29,1.75,1.0,2024-10-02 10:32:37,301,5999.95,27784.03,SGD,SGD,Cash,False,Physical Pooling Fund Transfer ID: 46
415535,4395,0,29,0,0.05,1.0,2024-10-02 10:32:37,153,5999.95,27784.03,SGD,SGD,Cash,True,Physical Pooling Fund Transfer ID: 46
415536,5054,4866,33,29,3.65,1.2872,2024-10-02 10:32:37,301,13999.45,27788.65,USD,SGD,Cash,False,Physical Pooling Fund Transfer ID: 46
415537,5054,0,33,0,0.55,1.0,2024-10-02 10:32:37,153,13999.45,27788.65,USD,USD,Cash,True,Physical Pooling Fund Transfer ID: 46
415538,0,4395,0,29,1.8,1.0,2024-10-02 10:32:37,200,0.0,6001.75,SGD,SGD,Mobile Banking,False,Interest Accrual for Physical Pooling: 46
415539,0,5054,0,33,4.2,1.0,2024-10-02 10:32:38,200,0.0,14003.65,USD,USD,Mobile Banking,False,Interest Accrual for Physical Pooling: 46
415540,0,4866,0,29,8.34,1.0,2024-10-02 10:32:38,200,0.0,27796.99,SGD,SGD,Mobile Banking,False,Interest Accrual for Physical Pooling: 46
415541,4395,4866,29,29,1.75,1.0,2024-10-02 10:32:42,301,5999.95,27798.74,SGD,SGD,Cash,False,Physical Pooling Fund Transfer ID: 46
415542,4395,0,29,0,0.05,1.0,2024-10-02 10:32:42,153,5999.95,27798.74,SGD,SGD,Cash,True,Physical Pooling Fund Transfer ID: 46
415543,5054,4866,33,29,3.65,1.2872,2024-10-02 10:32:42,301,13999.45,27803.36,USD,SGD,Cash,False,Physical Pooling Fund Transfer ID: 46
415544,5054,0,33,0,0.55,1.0,2024-10-02 10:32:42,153,13999.45,27803.36,USD,USD,Cash,True,Physical Pooling Fund Transfer ID: 46
415545,0,4395,0,29,1.8,1.0,2024-10-02 10:32:42,200,0.0,6001.75,SGD,SGD,Mobile Banking,False,Interest Accrual for Physical Pooling: 46
415546,0,5054,0,33,4.2,1.0,2024-10-02 10:32:42,200,0.0,14003.65,USD,USD,Mobile Banking,False,Interest Accrual for Physical Pooling: 46
415622,0,4395,0,29,1.8,1.0,2024-10-02 12:09:33,200,0.0,6001.75,SGD,SGD,Mobile Banking,False,Interest Accrual for Physical Pooling: 46
415623,0,5054,0,33,4.2,1.0,2024-10-02 12:09:33,200,0.0,14003.65,USD,USD,Mobile Banking,False,Interest Accrual for Physical Pooling: 46
415624,0,4866,0,29,8.39,1.0,2024-10-02 12:09:33,200,0.0,27973.82,SGD,SGD,Mobile Banking,False,Interest Accrual for Physical Pooling: 46
415625,4395,4866,29,29,1.75,1.0,2024-10-02 12:11:06,301,5999.95,27975.57,SGD,SGD,Cash,False,Physical Pooling Fund Transfer ID: 46
415626,4395,0,29,0,0.05,1.0,2024-10-02 12:11:06,153,5999.95,27975.57,SGD,SGD,Cash,True,Physical Pooling Fund Transfer ID: 46
415627,5054,4866,33,29,3.65,1.2872,2024-10-02 12:11:06,301,13999.45,27980.19,USD,SGD,Cash,False,Physical Pooling Fund Transfer ID: 46
415628,5054,0,33,0,0.55,1.0,2024-10-02 12:11:06,153,13999.45,27980.19,USD,USD,Cash,True,Physical Pooling Fund Transfer ID: 46
415629,0,4395,0,29,1.8,1.0,2024-10-02 12:11:07,200,0.0,6001.75,SGD,SGD,Mobile Banking,False,Interest Accrual for Physical Pooling: 46
415630,0,5054,0,33,4.2,1.0,2024-10-02 12:11:07,200,0.0,14003.65,USD,USD,Mobile Banking,False,Interest Accrual for Physical Pooling: 46
415631,0,4866,0,29,8.39,1.0,2024-10-02 12:11:07,200,0.0,27988.58,SGD,SGD,Mobile Banking,False,Interest Accrual for Physical Pooling: 46
415632,4395,4866,29,29,1.75,1.0,2024-10-02 12:12:18,301,5999.95,27990.33,SGD,SGD,Cash,False,Physical Pooling Fund Transfer ID: 46
415633,4395,0,29,0,0.05,1.0,2024-10-02 12:12:18,153,5999.95,27990.33,SGD,SGD,Cash,True,Physical Pooling Fund Transfer ID: 46
415634,5054,4866,33,29,3.65,1.2872,2024-10-02 12:12:18,301,13999.45,27994.95,USD,SGD,Cash,False,Physical Pooling Fund Transfer ID: 46
415635,5054,0,33,0,0.55,1.0,2024-10-02 12:12:18,153,13999.45,27994.95,USD,USD,Cash,True,Physical Pooling Fund Transfer ID: 46
415636,0,4395,0,29,1.8,1.0,2024-10-02 12:12:18,200,0.0,6001.75,SGD,SGD,Mobile Banking,False,Interest Accrual for Physical Pooling: 46
415637,0,5054,0,33,4.2,1.0,2024-10-02 12:12:18,200,0.0,14003.65,USD,USD,Mobile Banking,False,Interest Accrual for Physical Pooling: 46
415684,0,4866,0,29,9.73,1.0,2024-10-03 15:51:06,200,0.0,32439.34,SGD,SGD,Mobile Banking,False,Interest Accrual for Physical Pooling: 50
415685,4981,4982,29,29,1.23,1.0,2024-10-03 22:39:07,301,9964.44,10034.66,SGD,SGD,Cash,False,testing
415686,4981,0,29,0,0.05,1.0,2024-10-03 22:39:07,153,9964.44,10034.66,SGD,SGD,Cash,True,testing
415687,4981,4982,29,29,1.23,1.0,2024-10-03 22:39:17,301,9963.16,10035.89,SGD,SGD,Cash,False,testing
415688,4981,0,29,0,0.05,1.0,2024-10-03 22:39:17,153,9963.16,10035.89,SGD,SGD,Cash,True,testing
415689,4981,4982,29,29,1.23,1.0,2024-10-03 22:40:44,301,9961.88,10037.12,SGD,SGD,Cash,False,testing
415690,4981,0,29,0,0.05,1.0,2024-10-03 22:40:44,153,9961.88,10037.12,SGD,SGD,Cash,True,testing
415691,4981,4982,29,29,1.23,1.0,2024-10-03 22:40:59,301,9960.6,10038.35,SGD,SGD,Cash,False,testing
415692,4981,0,29,0,0.05,1.0,2024-10-03 22:40:59,153,9960.6,10038.35,SGD,SGD,Cash,True,testing
415693,4981,4982,29,29,1.23,1.0,2024-10-03 22:41:02,301,9959.32,10039.58,SGD,SGD,Cash,False,testing
415694,4981,0,29,0,0.05,1.0,2024-10-03 22:41:02,153,9959.32,10039.58,SGD,SGD,Cash,True,testing
415695,4981,4982,29,29,1.23,1.0,2024-10-03 22:41:57,301,9958.04,10040.81,SGD,SGD,Cash,False,testing
415696,4981,0,29,0,0.05,1.0,2024-10-03 22:41:57,153,9958.04,10040.81,SGD,SGD,Cash,True,testing
415697,4981,4982,29,29,1.23,1.0,2024-10-03 22:42:06,301,9956.76,10042.04,SGD,SGD,Cash,False,testing
415698,4981,0,29,0,0.05,1.0,2024-10-03 22:42:06,153,9956.76,10042.04,SGD,SGD,Cash,True,testing
415699,4981,4982,29,29,1.23,1.0,2024-10-03 22:47:54,301,9955.48,10043.27,SGD,SGD,Cash,False,testing
415700,4981,0,29,0,0.05,1.0,2024-10-03 22:47:54,153,9955.48,10043.27,SGD,SGD,Cash,True,testing
415701,4981,4982,29,29,1.23,1.0,2024-10-03 22:51:50,301,9954.2,10044.5,SGD,SGD,Cash,False,testing
415702,4981,0,29,0,0.05,1.0,2024-10-03 22:51:50,153,9954.2,10044.5,SGD,SGD,Cash,True,testing
415720,4981,0,29,0,0.05,1.0,2024-10-03 23:15:36,153,9942.91,10055.34,SGD,SGD,Cash,True,testing
415721,4981,4982,29,29,1.23,1.0,2024-10-03 23:16:13,301,9941.63,10056.57,SGD,SGD,Cash,False,testing
415722,4981,0,29,0,0.05,1.0,2024-10-03 23:16:13,153,9941.63,10056.57,SGD,SGD,Cash,True,testing
415723,4981,4982,29,29,1.23,1.0,2024-10-03 23:56:12,301,9940.35,10057.8,SGD,SGD,Cash,False,testing
415724,4981,0,29,0,0.05,1.0,2024-10-03 23:56:12,153,9940.35,10057.8,SGD,SGD,Cash,True,testing
415725,4981,4982,29,29,1.0,1.0,2024-10-04 00:54:16,301,9939.3,10058.8,SGD,SGD,Cash,False,Payment Transfer to Friend
415726,4981,0,29,0,0.05,1.0,2024-10-04 00:54:16,153,9939.3,10058.8,SGD,SGD,Cash,True,Payment Transfer to Friend
415727,4981,4982,29,29,1.0,1.0,2024-10-04 00:54:18,301,9938.25,10059.8,SGD,SGD,Cash,False,Payment Transfer to Friend
415728,4981,0,29,0,0.05,1.0,2024-10-04 00:54:18,153,9938.25,10059.8,SGD,SGD,Cash,True,Payment Transfer to Friend
415729,4981,4982,29,29,1.23,1.0,2024-10-04 00:55:24,301,9936.97,10061.03,SGD,SGD,Cash,False,testing
415730,4981,0,29,0,0.05,1.0,2024-10-04 00:55:24,153,9936.97,10061.03,SGD,SGD,Cash,True,testing
415731,4981,4982,29,29,1.23,1.0,2024-10-04 00:55:34,301,9935.69,10062.26,SGD,SGD,Cash,False,testing
415732,4981,0,29,0,0.05,1.0,2024-10-04 00:55:34,153,9935.69,10062.26,SGD,SGD,Cash,True,testing
415733,4981,4982,29,29,1.23,1.0,2024-10-04 00:55:46,301,9934.41,10063.49,SGD,SGD,Cash,False,testing
415734,4981,0,29,0,0.05,1.0,2024-10-04 00:55:46,153,9934.41,10063.49,SGD,SGD,Cash,True,testing
415735,4981,4982,29,29,1.23,1.0,2024-10-04 00:55:52,301,9933.13,10064.72,SGD,SGD,Cash,False,testing
415736,4981,0,29,0,0.05,1.0,2024-10-04 00:55:52,153,9933.13,10064.72,SGD,SGD,Cash,True,testing
415737,4981,4982,29,29,1.23,1.0,2024-10-04 00:59:01,301,9931.85,10065.95,SGD,SGD,Cash,False,testing
415738,4981,0,29,0,0.05,1.0,2024-10-04 00:59:01,153,9931.85,10065.95,SGD,SGD,Cash,True,testing
415757,4954,4953,29,29,1.23,1.0,2024-10-06 18:30:59,301,9979.67,10019.73,SGD,SGD,Cash,False,testing
415758,4954,0,29,0,0.05,1.0,2024-10-06 18:30:59,153,9979.67,10019.73,SGD,SGD,Cash,True,testing
415759,5008,5032,29,29,1.23,1.0,2024-10-07 00:34:49,301,9797.32,20202.48,SGD,SGD,Cash,False,lab4
415760,5008,0,29,0,0.05,1.0,2024-10-07 00:34:49,153,9797.32,20202.48,SGD,SGD,Cash,True,lab4
